state,district,agro_climatic_zone,crop,crop_type,season,soil_n,soil_p,soil_k,soil_ph,avg_temperature,avg_rainfall,humidity,area_hectare,yield_ton_per_hectare
Andhra Pradesh,Andhra Pradesh District 4,Eastern Plateau & Hills,Rice,Agriculture,Kharif,54,27,50,5.89,20.7,398.7,79.0,3.21,4.69
Andhra Pradesh,Andhra Pradesh District 5,Eastern Plateau & Hills,Rice,Agriculture,Rabi,69,57,31,5.95,21.1,817.2,63.6,2.44,2.81
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Rice,Agriculture,Zaid,81,47,89,6.42,25.8,1634.8,49.0,2.81,4.17
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Rice,Agriculture,Kharif,90,26,50,6.63,18.2,1901.7,65.3,2.23,1.57
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Rice,Agriculture,Zaid,99,26,73,6.74,18.6,1845.8,51.6,3.48,2.9
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Wheat,Agriculture,Rabi,102,37,55,6.62,24.7,1875.3,72.7,1.97,4.07
Andhra Pradesh,Andhra Pradesh District 4,Eastern Plateau & Hills,Wheat,Agriculture,Kharif,101,59,50,6.47,22.6,1708.9,56.1,1.76,3.94
Andhra Pradesh,Andhra Pradesh District 1,Eastern Plateau & Hills,Wheat,Agriculture,Kharif,54,20,54,7.97,31.1,637.8,40.2,4.17,4.68
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Wheat,Agriculture,Zaid,72,24,71,6.4,20.0,1767.3,68.0,1.99,1.79
Andhra Pradesh,Andhra Pradesh District 5,Eastern Plateau & Hills,Wheat,Agriculture,Zaid,83,59,51,7.72,26.0,503.3,72.1,3.92,4.03
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Maize,Agriculture,Kharif,118,34,55,5.56,19.8,353.4,68.6,1.91,3.79
Andhra Pradesh,Andhra Pradesh District 5,Eastern Plateau & Hills,Maize,Agriculture,Zaid,54,48,65,7.86,28.2,1481.1,79.6,3.31,2.83
Andhra Pradesh,Andhra Pradesh District 5,Eastern Plateau & Hills,Maize,Agriculture,Rabi,67,47,73,5.97,33.2,1216.9,76.3,4.53,2.93
Andhra Pradesh,Andhra Pradesh District 1,Eastern Plateau & Hills,Maize,Agriculture,Kharif,66,32,70,6.26,20.8,1208.0,61.8,3.62,2.71
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Maize,Agriculture,Rabi,71,51,53,7.26,24.2,1952.0,83.3,1.63,3.74
Andhra Pradesh,Andhra Pradesh District 1,Eastern Plateau & Hills,Sugarcane,Agriculture,Kharif,95,36,88,7.02,26.5,387.5,52.5,4.59,2.58
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Sugarcane,Agriculture,Kharif,83,45,61,6.88,28.1,437.5,56.6,1.59,5.11
